dataset,recall,qps,avg_io_per_query
deep100m,79.65,4158.69,80.64
deep100m,84.1,3499.59,100.72
deep100m,88.83,2719.82,131.41
deep100m,93.04,2015.41,180.75
deep100m,93.76,1878.94,194.01
deep100m,94.43,1750.47,208.41
deep100m,94.95,1658.03,221.66
deep100m,95.39,1585.56,235.49
deep100m,95.61,1519.06,244.05
deep100m,95.93,1424.85,261.33
sift100m,91.7,4340.11,89.08
sift100m,94.04,3797.79,105.29
sift100m,94.79,3542.05,115.58
sift100m,95.63,3188.8,129.9
sift100m,96.41,2865.47,145.65
sift100m,97.13,2496.35,171.31
sift100m,97.79,2158.87,201.94
spacev100m,91.59,6343.55,60.16
spacev100m,93.62,5512.58,69.04
spacev100m,94.48,5133.87,73.57
spacev100m,95.49,4667.24,80.08
spacev100m,96.01,4342.86,85.63
spacev100m,96.42,4070.17,105.19
spacev100m,96.85,3496.04,134.9
spacev100m,97.35,2780.67,179.47
